('グランマニエサイドカー', 'ブランデーベース', '20~25', '甘口', 'グランマニエ、レモンジュース', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人。', 'オレンジリキュールとブランデーの組み合わせを楽しみたい人に向けた特徴です。'),
('チョコティー二', 'ウォッカベース', '15~20', '甘口', 'ココアリキュール、クリーム、チョコレートシロップ', '甘くてデザート感覚のカクテルを楽しみたい人。', 'ウォッカとチョコレートリキュールの甘みとコクにコーヒーの風味が加わり、濃厚な味わい。'),
('カシスビア', 'ビールベース', '~10', '甘口', 'カシスリキュール', '甘酸っぱいフルーツフレーバーが好きな人、カシスリキュールが好きな人', 'ビールにカシスリキュールを加え、甘酸っぱい味わいを楽しむ。'),
('シルビア', 'ラムベース', '15~20', '辛口', 'グラン・マルニエ、パイナップルジュース、オレンジジュース、シュガーシロップ、卵黄、（カットパイン、レッド・チェリー）', 'エレガントでフルーティなカクテルを楽しみたい人。', 'ラムの甘みとシトラスの風味が調和した、軽快な味わい。'),
('ポートワイン', 'デザートワイン', '15~25', '甘口', '特になし', 'リッチで濃厚なデザートワインを楽しみたい人。', 'リッチで濃厚なデザートワインを楽しみたい人向けの甘口のデザートワイン。'),
('光栄菊', '日本酒', '15', '甘口', '特になし', 'フルーティーで爽やかな香りを楽しみたい人。軽やかな飲み口を求める人。', '佐賀県のお酒でフルーティーで爽やかな香り。軽やかな飲み口。'),
('カヴァ', 'スパークリングワイン', '10~15', '中口', '特になし', 'スペイン産のリーズナブルで美味しいスパークリングワインを好む人。', 'スペイン産のリーズナブルで美味しいスパークリングワインを好む人向けの中口のスパークリングワイン。'),
('モスコミュール', 'ウォッカベース', '10~15', '甘口', 'シュガーシロップ、ライムジュース、ジンジャエール、（ライム）', '生姜の風味を楽しみたい人やクラシックなカクテルを好む人。', 'ジンジャービールの爽やかな風味とライムの爽やかな酸味が加わり、スパイシーで爽快な味わい。'),
('バラライカ', 'ウォッカベース', '20~25', '甘口', 'クランベリージュース、グレープフルーツジュース', 'バランスのとれたフルーティなカクテルを楽しみたい人。', 'ウォッカのキレとレモンジュースの酸味が加わり、爽やかな味わい。'),
('カンパリビア', 'ビールベース', '~10', '辛口', 'カンパリ', 'ビターなフレーバーが好きな人、カンパリの独特な味を楽しみたい人', 'ビールにカンパリを加え、ビターで爽やかな味わいにする。'),
('ランチボックス', 'ビールベース', '~10', '甘口', 'オレンジジュース、アマレット', 'ビールとオレンジジュース、アマレットのユニークな組み合わせを試したい人、軽食と一緒に楽しみたい人', 'ビールにジンジャーシロップやオレンジジュースを加え、スパイシーでフルーティーな味わいを楽しむ。'),
